1;Amber;4;Pyro;Bow;Mondstadt;1;2
2;Barbara;4;Hydro;Catalyst;Mondstadt;1;1
3;Beidou;4;Electro;Claymore;Liyue;1;2
4;Bennett;4;Pyro;Sword;Mondstadt;1;2
5;Chongyun;4;Cryo;Claymore;Liyue;1;2
6;Diluc;5;Pyro;Claymore;Mondstadt;1;1
7;Fischl;4;Electro;Bow;Mondstadt;1;6
8;Jean;5;Anemo;Sword;Mondstadt;1;1
9;Kaeya;4;Cryo;Sword;Mondstadt;1;5
10;Keqing;5;Electro;Sword;Liyue;1;1
11;Klee;5;Pyro;Catalyst;Mondstadt;1;2
12;Lisa;4;Electro;Catalyst;Mondstadt;1;2
13;Mona;5;Hydro;Catalyst;Mondstadt;1;2
14;Ningguang;4;Geo;Catalyst;Liyue;1;2
15;Noelle;4;Geo;Claymore;Mondstadt;1;1
16;Qiqi;5;Cryo;Sword;Liyue;1;1
17;Razor;4;Electro;Claymore;Mondstadt;1;3
18;Sucrose;4;Anemo;Catalyst;Mondstadt;1;5
19;Venti;5;Anemo;Bow;Mondstadt;1;1
20;Xiangling;4;Pyro;Polearm;Liyue;1;1
21;Xingqiu;4;Hydro;Sword;Liyue;1;1
22;Diona;4;Cryo;Bow;Mondstadt;1.1;2
23;Tartaglia;5;Hydro;Bow;Snezhnaya;1.1;6
24;Xinyan;4;Pyro;Claymore;Liyue;1.1;1
25;Zhongli;5;Geo;Polearm;Liyue;1.1;5
26;Albedo;5;Geo;Sword;Mondstadt;1.2;0
27;Ganyu;5;Cryo;Bow;Liyue;1.2;3
28;Hu Tao;5;Pyro;Polearm;Liyue;1.3;2
29;Xiao;5;Anemo;Polearm;Liyue;1.3;1
30;Rosaria;4;Cryo;Polearm;Mondstadt;1.4;5
31;Eula;5;Cryo;Claymore;Mondstadt;1.5;3
32;Yanfei;4;Pyro;Catalyst;Liyue;1.5;2
33;Kazuha;5;Anemo;Sword;Inazuma;1.6;2
34;Ayaka;5;Cryo;Sword;Inazuma;2;1
35;Sayu;4;Anemo;Claymore;Inazuma;2;0
36;Yoimiya;5;Pyro;Bow;Inazuma;2;4
37;Sara;4;Electro;Bow;Inazuma;2.1;2
38;Raiden;5;Electro;Polearm;Inazuma;2.1;3
39;Kokomi;5;Hydro;Catalyst;Inazuma;2.1;1
40;Thoma;4;Pyro;Polearm;Inazuma;2.2;2
41;Itto;5;Geo;Claymore;Inazuma;2.3;1
42;Gorou;4;Geo;Bow;Inazuma;2.3;4
43;Shenhe;5;Cryo;Polearm;Liyue;2.4;4
44;Yun Jin;4;Geo;Polearm;Liyue;2.4;5
45;Yae Miko;5;Electro;Catalyst;Inazuma;2.5;2
46;Ayato;5;Hydro;Sword;Inazuma;2.6;1
47;Shinobu;4;Electro;Sword;Inazuma;2.7;3
48;Yelan;5;Hydro;Bow;Liyue;2.7;4
49;Heizou;4;Anemo;Catalyst;Inazuma;2.8;1
50;Collei;4;Dendro;Bow;Sumeru;3;5
51;Dori;4;Electro;Claymore;Sumeru;3;2
52;Tighnari;5;Dendro;Bow;Sumeru;3;3
53;Candace;4;Hydro;Polearm;Sumeru;3.1;0
54;Cyno;5;Electro;Polearm;Sumeru;3.1;0
55;Nilou;5;Hydro;Sword;Sumeru;3.1;3
56;Layla;4;Cryo;Sword;Sumeru;3.2;3
57;Nahida;5;Dendro;Catalyst;Sumeru;3.2;1
58;Faruzan;4;Anemo;Bow;Sumeru;3.3;4
59;Wanderer;5;Anemo;Catalyst;Sumeru;3.3;3
60;Alhaitham;5;Dendro;Sword;Sumeru;3.4;2
61;Yaoyao;4;Dendro;Polearm;Liyue;3.4;3
62;Dehya;5;Pyro;Claymore;Sumeru;3.5;0
63;Mika;4;Cryo;Polearm;Mondstadt;3.5;3
64;Baizhu;5;Dendro;Catalyst;Liyue;3.6;3
65;Kaveh;4;Dendro;Claymore;Sumeru;3.6;2
66;Kirara;4;Dendro;Sword;Inazuma;3.7;0
67;Freminet;4;Cryo;Claymore;Fontaine;4;3
68;Lynette;4;Anemo;Sword;Fontaine;4;2
69;Lyney;5;Pyro;Bow;Fontaine;4;2
70;Neuvillette;5;Hydro;Catalyst;Fontaine;4.1;3
71;Wriothesley;5;Cryo;Catalyst;Fontaine;4.1;2
72;Charlotte;4;Cryo;Catalyst;Fontaine;4.2;4
73;Furina;5;Hydro;Sword;Fontaine;4.2;3
74;Chevreuse;4;Pyro;Polearm;Fontaine;4.3;1
75;Navia;5;Geo;Claymore;Fontaine;4.3;2
76;Gaming;4;Pyro;Claymore;Liyue;4.4;3
77;Xianyun;5;Anemo;Catalyst;Liyue;4.4;0
78;Chiori;5;Geo;Sword;Inazuma;4.5;1
79;Arlecchino;5;Pyro;Polearm;Snezhnaya;4.6;0
80;Clorinde;5;Electro;Sword;Fontaine;4.7;5
81;Sethos;4;Electro;Bow;Sumeru;4.7;0
82;Sigewinne;5;Hydro;Bow;Fontaine;4.7;1
83;Emilie;5;Dendro;Polearm;Fontaine;4.8;0
84;Kachina;4;Geo;Polearm;Natlan;5;2
85;Kinich;5;Dendro;Claymore;Natlan;5;2
86;Mualani;5;Hydro;Catalyst;Natlan;5;5
87;Xilonen;5;Geo;Sword;Natlan;5.1;1
88;Chasca;5;Anemo;Bow;Natlan;5.2;0
89;Ororon;4;Electro;Bow;Natlan;5.2;5
90;Citlali;5;Cryo;Catalyst;Natlan;5.3;0
91;Lan Yan;4;Anemo;Catalyst;Liyue;5.3;0
92;Mavuika;5;Pyro;Claymore;Natlan;5.3;2
93;Mizuki;5;Anemo;Catalyst;Inazuma;5.4;2
94;Iansan;4;Electro;Polearm;Natlan;5.5;0
95;Varesa;5;Electro;Catalyst;Natlan;5.5;1
96;Escoffier;5;Cryo;Polearm;Fontaine;5.6;4
97;Ifa;4;Anemo;Catalyst;Natlan;5.6;3
98;Dahlia;4;Hydro;Sword;Mondstadt;5.7;3
99;Skirk;5;Cryo;Sword;Outlander;5.7;3
100;Ineffa;5;Electro;Polearm;Nod-Krai;5.8;3
101;Aino;4;Hydro;Claymore;Nod-Krai;6;5
102;Flins;5;Electro;Polearm;Nod-Krai;6;2
103;Lauma;5;Dendro;Catalyst;Nod-Krai;6;1
104;Nefer;5;Dendro;Catalyst;Nod-Krai;6.1;1
105;Durin;5;Pyro;Sword;Mondstadt;6.2;4
106;Jahoda;4;Anemo;Bow;Nod-Krai;6.2;1
107;Columbina;5;Hydro;Catalyst;Nod-Krai;6.3;3
108;Illuga;4;Geo;Polearm;Nod-Krai;6.3;2
109;Zibai;5;Geo;Sword;Liyue;6.3;3
110;Varka;5;Anemo;Claymore;Mondstadt;6.4;2
111;Linnea;5;Geo;Bow;Nod-Krai;6.5;3
